模型名称,分解方法,MAE (BPM),RMSE (BPM),R²,MAPE (%),最大误差 (BPM),中位误差 (BPM),误差标准差,95%置信区间下限 (BPM),95%置信区间上限 (BPM),±3 BPM准确率 (%),低心率 MAE (BPM),正常心率 MAE (BPM),高心率 MAE (BPM),单样本推理时间 (ms),批量推理时间 (秒),每秒处理样本数
CNN_LSTM,EEMD,4.4845,6.7763,-0.2151,7.14,17.5422,1.6671,6.5877,-10.83,14.53,63.74,11.2603,1.9706,,,,
Transformer,EEMD,4.6127,6.3382,-0.063,7.31,17.0173,2.3463,6.1728,-5.19,13.78,58.56,11.1803,2.176,,,,
BiLSTM,EEMD,4.8118,7.0143,-0.3019,7.58,26.1713,2.0588,6.9391,-12.21,13.97,63.64,11.2046,2.44,,,,
TCAN,EEMD,5.2346,6.5583,-0.1381,7.94,25.3062,4.1725,6.5356,-10.88,13.43,36.79,8.6289,3.9753,,,,
ResNet1D,EEMD,5.2379,6.8213,-0.2313,7.93,19.6592,4.1169,6.7936,-12.24,14.17,41.65,8.4692,4.039,,,,
CNN_GRU,EEMD,5.4078,7.5897,-0.5243,8.24,23.2801,2.6965,7.5824,-14.95,14.47,52.17,9.4999,3.8895,,,,
MultiscaleLSTM,EEMD,5.5038,6.6856,-0.1828,8.37,15.6468,3.082,6.668,-9.74,12.73,47.89,9.3107,4.0914,,,,
LSTM,EEMD,5.9599,6.2709,-0.0406,8.94,13.0814,4.9312,6.1477,-4.97,10.08,0.42,8.7281,4.9329,,,,
AttentionLSTM,EEMD,6.5437,6.783,-0.2175,9.58,12.4105,6.8372,6.1789,-8.23,9.97,3.7,6.948,6.3937,,,,
TCN,EEMD,6.5572,7.5555,-0.5106,9.53,24.1997,6.4999,6.9019,-13.27,11.47,20.67,6.2442,6.6734,,,,
InceptionTime,EEMD,8.2688,10.2615,-1.7864,11.89,42.7571,7.2943,9.0822,-22.8,12.68,20.35,6.427,8.9521,,,,
WaveNet,EEMD,8.4608,10.1874,-1.7463,11.96,31.1407,7.5712,7.4279,-20.94,8.24,18.92,4.3386,9.9902,,,,
MobileNet1D,EEMD,8.9384,11.159,-2.2951,13.42,37.9878,7.7545,10.1649,-12.51,25.49,19.4,13.4628,7.2598,,,,
DeepStateSpace,VMD,3.245,5.4094,0.2257,4.89,19.0594,1.6398,5.2105,-13.74,16.19,83.67,5.2345,2.5069,,,,
N-Beats,VMD,4.5307,7.3107,-0.4143,7.04,17.501,0.6362,7.2901,-14.35,14.97,62.21,9.4553,2.7036,,,,
